"Parent","Asset","District","County","Owner"
"District 3 - Miller","00263","03 - District 3","091 - Miller","01 - State Highway Agency"
"District 3 - Miller","00264","03 - District 3","091 - Miller","01 - State Highway Agency"
"District 3 - Pike","00279","03 - District 3","109 - Pike","04 - City or Municipal Highway Agency"
"District 3 - Pike","00284","03 - District 3","109 - Pike","01 - State Highway Agency"
"District 3 - Pike","00286","03 - District 3","109 - Pike","01 - State Highway Agency"
"District 7 - Calhoun","00305","07 - District 7","013 - Calhoun","01 - State Highway Agency"
"District 7 - Calhoun","00306","07 - District 7","013 - Calhoun","01 - State Highway Agency"
"District 7 - Calhoun","00307","07 - District 7","013 - Calhoun","01 - State Highway Agency"
"District 4 - Scott","00315","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00316","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00317","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00319","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00320","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00321","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 4 - Scott","00322","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 3 - Howard","00326","03 - District 3","061 - Howard","01 - State Highway Agency"
"District 4 - Sebastian","00329","04 - District 4","131 - Sebastian","01 - State Highway Agency"
"District 4 - Sebastian","00331","04 - District 4","131 - Sebastian","01 - State Highway Agency"
"District 4 - Sebastian","00332","04 - District 4","131 - Sebastian","01 - State Highway Agency"
"District 9 - Boone","00335","09 - District 9","009 - Boone","02 - County Highway Agency"
"District 9 - Marion","00338","09 - District 9","089 - Marion","01 - State Highway Agency"
"District 4 - Sebastian","00348","04 - District 4","131 - Sebastian","01 - State Highway Agency"
"District 4 - Logan","00355","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 4 - Logan","00356","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 8 - Johnson","00358","08 - District 8","071 - Johnson","01 - State Highway Agency"
"District 4 - Logan","00378","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 4 - Logan","00381","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 4 - Logan","00382","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 3 - Sevier","00399","03 - District 3","133 - Sevier","02 - County Highway Agency"
"District 8 - Yell","00406","08 - District 8","149 - Yell","01 - State Highway Agency"
"District 3 - Pike","00410","03 - District 3","109 - Pike","02 - County Highway Agency"
"District 4 - Crawford","00411","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 4 - Crawford","00412","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 4 - Crawford","00413","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 10 - Clay","00431","10 - District 10","021 - Clay","01 - State Highway Agency"
"District 10 - Clay","00432","10 - District 10","021 - Clay","01 - State Highway Agency"
"District 10 - Clay","00433","10 - District 10","021 - Clay","01 - State Highway Agency"
"District 10 - Clay","00434","10 - District 10","021 - Clay","01 - State Highway Agency"
"District 7 - Union","00437","07 - District 7","139 - Union","01 - State Highway Agency"
"District 7 - Union","00438","07 - District 7","139 - Union","01 - State Highway Agency"
"District 3 - Howard","00443","03 - District 3","061 - Howard","01 - State Highway Agency"
"District 3 - Howard","00444","03 - District 3","061 - Howard","01 - State Highway Agency"
"District 3 - Howard","00446","03 - District 3","061 - Howard","01 - State Highway Agency"
"District 4 - Crawford","00450","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 4 - Crawford","00451","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 9 - Boone","00452","09 - District 9","009 - Boone","02 - County Highway Agency"
"District 6 - Hot Spring","00454","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","00455","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","00456","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 7 - Cleveland","00461","07 - District 7","025 - Cleveland","01 - State Highway Agency"
"District 9 - Marion","00476","09 - District 9","089 - Marion","04 - City or Municipal Highway Agency"
"District 10 - Randolph","00483","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00496","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00497","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00498","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00499","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00500","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00501","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00502","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00503","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00504","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00505","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00506","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00507","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00508","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00509","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Randolph","00510","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 1 - Cross","00511","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00512","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00513","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00515","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00516","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00517","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00518","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00519","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00520","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 1 - Cross","00521","01 - District 1","037 - Cross","01 - State Highway Agency"
"District 8 - Faulkner","00534","08 - District 8","045 - Faulkner","01 - State Highway Agency"
"District 7 - Cleveland","00542","07 - District 7","025 - Cleveland","01 - State Highway Agency"
"District 7 - Cleveland","00543","07 - District 7","025 - Cleveland","01 - State Highway Agency"
"District 7 - Cleveland","00544","07 - District 7","025 - Cleveland","01 - State Highway Agency"
"District 10 - Poinsett","00573","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 10 - Poinsett","00574","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 10 - Poinsett","00579","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 10 - Poinsett","00581","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 10 - Poinsett","00582","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 9 - Newton","00585","09 - District 9","101 - Newton","01 - State Highway Agency"
"District 9 - Newton","00586","09 - District 9","101 - Newton","01 - State Highway Agency"
"District 10 - Poinsett","00599","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 4 - Crawford","00609","04 - District 4","033 - Crawford","01 - State Highway Agency"
"District 5 - Jackson","00612","05 - District 5","067 - Jackson","01 - State Highway Agency"
"District 7 - Ouachita","00619","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 7 - Ouachita","00620","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 7 - Ouachita","00621","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 7 - Union","00639","07 - District 7","139 - Union","27 - Railroad"
"District 7 - Clark","00657","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 6 - Hot Spring","00658","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","00659","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","00660","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","00663","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 4 - Logan","00671","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 9 - Marion","00677","09 - District 9","089 - Marion","01 - State Highway Agency"
"District 9 - Searcy","00680","09 - District 9","129 - Searcy","01 - State Highway Agency"
"District 8 - Montgomery","00700","08 - District 8","097 - Montgomery","01 - State Highway Agency"
"District 9 - Marion","00702","09 - District 9","089 - Marion","01 - State Highway Agency"
"District 8 - Yell","00703","08 - District 8","149 - Yell","01 - State Highway Agency"
"District 10 - Randolph","00730","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 10 - Poinsett","00734","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 10 - Poinsett","00735","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 10 - Poinsett","00736","10 - District 10","111 - Poinsett","01 - State Highway Agency"
"District 8 - Johnson","00740","08 - District 8","071 - Johnson","01 - State Highway Agency"
"District 8 - Johnson","00741","08 - District 8","071 - Johnson","01 - State Highway Agency"
"District 6 - Hot Spring","00745","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 10 - Mississippi","00748","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 9 - Carroll","00767","09 - District 9","015 - Carroll","04 - City or Municipal Highway Agency"
"District 2 - Ashley","00775","02 - District 2","003 - Ashley","01 - State Highway Agency"
"District 2 - Ashley","00776","02 - District 2","003 - Ashley","01 - State Highway Agency"
"District 5 - Sharp","00799","05 - District 5","135 - Sharp","01 - State Highway Agency"
"District 8 - Pope","00811","08 - District 8","115 - Pope","01 - State Highway Agency"
"District 8 - Pope","00812","08 - District 8","115 - Pope","01 - State Highway Agency"
"District 8 - Pope","00813","08 - District 8","115 - Pope","01 - State Highway Agency"
"District 7 - Ouachita","00827","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 10 - Greene","00830","10 - District 10","055 - Greene","01 - State Highway Agency"
"District 2 - Lincoln","00832","02 - District 2","079 - Lincoln","01 - State Highway Agency"
"District 2 - Jefferson","00833","02 - District 2","069 - Jefferson","01 - State Highway Agency"
"District 5 - Cleburne","00865","05 - District 5","023 - Cleburne","01 - State Highway Agency"
"District 5 - Cleburne","00866","05 - District 5","023 - Cleburne","01 - State Highway Agency"
"District 5 - Cleburne","00867","05 - District 5","023 - Cleburne","01 - State Highway Agency"
"District 6 - Saline","00868","06 - District 6","125 - Saline","01 - State Highway Agency"
"District 9 - Madison","00878","09 - District 9","087 - Madison","01 - State Highway Agency"
"District 4 - Sebastian","00879","04 - District 4","131 - Sebastian","01 - State Highway Agency"
"District 4 - Sebastian","00881","04 - District 4","131 - Sebastian","01 - State Highway Agency"
"District 5 - Stone","00889","05 - District 5","137 - Stone","01 - State Highway Agency"
"District 5 - Stone","00892","05 - District 5","137 - Stone","01 - State Highway Agency"
"District 7 - Clark","00899","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","00900","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","00911","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 5 - White","00946","05 - District 5","145 - White","01 - State Highway Agency"
"District 8 - Pope","00958","08 - District 8","115 - Pope","01 - State Highway Agency"
"District 9 - Boone","01003","09 - District 9","009 - Boone","01 - State Highway Agency"
"District 4 - Scott","01013","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 3 - Pike","01029","03 - District 3","109 - Pike","01 - State Highway Agency"
"District 9 - Baxter","01030","09 - District 9","005 - Baxter","01 - State Highway Agency"
"District 9 - Madison","01069","09 - District 9","087 - Madison","02 - County Highway Agency"
"District 9 - Marion","01070","09 - District 9","089 - Marion","02 - County Highway Agency"
"District 7 - Ouachita","01071","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 7 - Ouachita","01072","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 7 - Ouachita","01073","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 7 - Ouachita","01074","07 - District 7","103 - Quachita","01 - State Highway Agency"
"District 9 - Marion","01076","09 - District 9","089 - Marion","01 - State Highway Agency"
"District 6 - Garland","01091","06 - District 6","051 - Garland","01 - State Highway Agency"
"District 6 - Garland","01093","06 - District 6","051 - Garland","01 - State Highway Agency"
"District 9 - Benton","01100","09 - District 9","007 - Benton","01 - State Highway Agency"
"District 6 - Prairie","01101","06 - District 6","117 - Prairie","01 - State Highway Agency"
"District 1 - Monroe","01102","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01103","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01104","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01105","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01106","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01107","01 - District 1","035 - Crittenden","01 - State Highway Agency"
"District 1 - Monroe","01109","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01110","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01111","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01112","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 8 - Perry","01116","08 - District 8","105 - Perry","01 - State Highway Agency"
"District 8 - Perry","01117","08 - District 8","105 - Perry","01 - State Highway Agency"
"District 8 - Yell","01120","08 - District 8","149 - Yell","01 - State Highway Agency"
"District 8 - Yell","01121","08 - District 8","149 - Yell","01 - State Highway Agency"
"District 5 - Independence","01126","05 - District 5","063 - Independence","27 - Railroad"
"District 4 - Logan","01140","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 5 - Jackson","01159","05 - District 5","067 - Jackson","01 - State Highway Agency"
"District 8 - Perry","01160","08 - District 8","105 - Perry","01 - State Highway Agency"
"State Bridges - D 1","01161","01 - District 1","035 - Crittenden","01 - State Highway Agency"
"State Bridges - D 1","01162","01 - District 1","035 - Crittenden","01 - State Highway Agency"
"District 1 - Crittenden","01163","01 - District 1","035 - Crittenden","01 - State Highway Agency"
"District 1 - Crittenden","01164","01 - District 1","035 - Crittenden","01 - State Highway Agency"
"District 1 - Crittenden","01165","01 - District 1","035 - Crittenden","01 - State Highway Agency"
"District 1 - Crittenden","01166","01 - District 1","035 - Crittenden","01 - State Highway Agency"
"District 9 - Madison","01183","09 - District 9","087 - Madison","01 - State Highway Agency"
"District 4 - Franklin","01184","04 - District 4","047 - Franklin","01 - State Highway Agency"
"District 4 - Washington","01196","04 - District 4","143 - Washington","01 - State Highway Agency"
"District 8 - Johnson","01198","08 - District 8","071 - Johnson","01 - State Highway Agency"
"District 3 - Miller","01199","03 - District 3","091 - Miller","01 - State Highway Agency"
"District 3 - Miller","01200","03 - District 3","091 - Miller","01 - State Highway Agency"
"District 3 - Miller","01201","03 - District 3","091 - Miller","01 - State Highway Agency"
"District 6 - Pulaski","01202","06 - District 6","119 - Pulaski","01 - State Highway Agency"
"District 6 - Pulaski","01203","06 - District 6","119 - Pulaski","01 - State Highway Agency"
"District 6 - Pulaski","01204","06 - District 6","119 - Pulaski","01 - State Highway Agency"
"District 6 - Pulaski","01205","06 - District 6","119 - Pulaski","01 - State Highway Agency"
"District 6 - Pulaski","01206","06 - District 6","119 - Pulaski","01 - State Highway Agency"
"District 5 - Cleburne","01209","05 - District 5","023 - Cleburne","01 - State Highway Agency"
"District 2 - Lincoln","01229","02 - District 2","079 - Lincoln","01 - State Highway Agency"
"District 3 - Hempstead","01245","03 - District 3","057 - Hempstead","01 - State Highway Agency"
"District 3 - Hempstead","01246","03 - District 3","057 - Hempstead","01 - State Highway Agency"
"District 3 - Hempstead","01247","03 - District 3","057 - Hempstead","01 - State Highway Agency"
"District 3 - Hempstead","01248","03 - District 3","057 - Hempstead","01 - State Highway Agency"
"District 3 - Hempstead","01249","03 - District 3","057 - Hempstead","01 - State Highway Agency"
"District 3 - Hempstead","01250","03 - District 3","057 - Hempstead","01 - State Highway Agency"
"District 3 - Hempstead","01251","03 - District 3","057 - Hempstead","01 - State Highway Agency"
"District 1 - Monroe","01253","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 10 - Mississippi","01256","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 10 - Mississippi","01257","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 10 - Mississippi","01258","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 10 - Mississippi","01259","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 10 - Mississippi","01260","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 10 - Mississippi","01261","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 10 - Mississippi","01262","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 10 - Mississippi","01264","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 10 - Mississippi","01265","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 10 - Mississippi","01266","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 10 - Mississippi","01268","10 - District 10","093 - Mississippi","01 - State Highway Agency"
"District 4 - Logan","01272","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 8 - Yell","01316","08 - District 8","149 - Yell","01 - State Highway Agency"
"District 8 - Yell","01317","08 - District 8","149 - Yell","01 - State Highway Agency"
"District 8 - Yell","01318","08 - District 8","149 - Yell","01 - State Highway Agency"
"District 3 - Sevier","01321","03 - District 3","133 - Sevier","01 - State Highway Agency"
"District 3 - Miller","01343","03 - District 3","091 - Miller","27 - Railroad"
"District 6 - Garland","01345","06 - District 6","051 - Garland","01 - State Highway Agency"
"District 7 - Columbia","01357","07 - District 7","027 - Columbia","01 - State Highway Agency"
"District 7 - Columbia","01358","07 - District 7","027 - Columbia","01 - State Highway Agency"
"District 7 - Columbia","01359","07 - District 7","027 - Columbia","01 - State Highway Agency"
"District 6 - Lonoke","01364","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 6 - Lonoke","01365","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 6 - Lonoke","01366","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 5 - White","01368","05 - District 5","145 - White","01 - State Highway Agency"
"District 1 - St. Francis","01372","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - St. Francis","01373","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - St. Francis","01374","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - St. Francis","01375","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - St. Francis","01376","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - St. Francis","01377","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - St. Francis","01378","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - St. Francis","01379","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - St. Francis","01380","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 7 - Clark","01381","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01382","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01383","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01384","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01385","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01386","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 1 - Monroe","01387","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01388","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01389","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - Monroe","01390","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - St. Francis","01391","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 9 - Boone","01396","09 - District 9","009 - Boone","01 - State Highway Agency"
"District 1 - Cross","01403","01 - District 1","037 - Cross","27 - Railroad"
"District 4 - Washington","01408","04 - District 4","143 - Washington","01 - State Highway Agency"
"District 7 - Clark","01412","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 5 - White","01414","05 - District 5","145 - White","01 - State Highway Agency"
"District 3 - Nevada","01420","03 - District 3","099 - Neveda","01 - State Highway Agency"
"District 6 - Hot Spring","01431","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","01432","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","01433","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","01434","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","01435","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Hot Spring","01436","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Saline","01437","06 - District 6","125 - Saline","01 - State Highway Agency"
"District 6 - Saline","01438","06 - District 6","125 - Saline","01 - State Highway Agency"
"District 6 - Lonoke","01441","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 6 - Lonoke","01442","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 6 - Lonoke","01443","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 5 - White","01446","05 - District 5","145 - White","01 - State Highway Agency"
"District 5 - White","01447","05 - District 5","145 - White","01 - State Highway Agency"
"District 5 - White","01448","05 - District 5","145 - White","01 - State Highway Agency"
"District 5 - White","01450","05 - District 5","145 - White","01 - State Highway Agency"
"District 5 - White","01451","05 - District 5","145 - White","01 - State Highway Agency"
"District 5 - White","01452","05 - District 5","145 - White","01 - State Highway Agency"
"District 6 - Lonoke","01453","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 8 - Perry","01456","08 - District 8","105 - Perry","01 - State Highway Agency"
"District 9 - Carroll","01460","09 - District 9","015 - Carroll","01 - State Highway Agency"
"District 9 - Marion","01461","09 - District 9","089 - Marion","01 - State Highway Agency"
"District 5 - White","01462","05 - District 5","145 - White","01 - State Highway Agency"
"District 6 - Hot Spring","01465","06 - District 6","059 - Hot Spring","01 - State Highway Agency"
"District 6 - Lonoke","01467","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 6 - Lonoke","01468","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 6 - Lonoke","01469","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 6 - Lonoke","01470","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 7 - Bradley","01475","07 - District 7","011 - Bradley","01 - State Highway Agency"
"District 7 - Clark","01476","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01477","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01478","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01479","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01480","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01481","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 7 - Clark","01482","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 9 - Marion","01483","09 - District 9","089 - Marion","01 - State Highway Agency"
"District 7 - Clark","01485","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 1 - St. Francis","01498","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - Monroe","01534","01 - District 1","095 - Monroe","01 - State Highway Agency"
"District 1 - St. Francis","01535","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - St. Francis","01536","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 3 - Nevada","01537","03 - District 3","099 - Neveda","01 - State Highway Agency"
"District 6 - Pulaski","01538","06 - District 6","119 - Pulaski","01 - State Highway Agency"
"District 6 - Lonoke","01539","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 6 - Lonoke","01540","06 - District 6","085 - Lonoke","01 - State Highway Agency"
"District 3 - Howard","01545","03 - District 3","061 - Howard","04 - City or Municipal Highway Agency"
"District 7 - Union","01547","07 - District 7","139 - Union","01 - State Highway Agency"
"District 7 - Union","01568","07 - District 7","139 - Union","01 - State Highway Agency"
"District 7 - Union","01570","07 - District 7","139 - Union","01 - State Highway Agency"
"District 1 - St. Francis","01572","01 - District 1","123 - St. Francis","27 - Railroad"
"District 1 - St. Francis","01578","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 1 - St. Francis","01579","01 - District 1","123 - St. Francis","01 - State Highway Agency"
"District 4 - Scott","01594","04 - District 4","127 - Scott","01 - State Highway Agency"
"District 8 - Johnson","01597","08 - District 8","071 - Johnson","01 - State Highway Agency"
"District 3 - Hempstead","01598","03 - District 3","057 - Hempstead","01 - State Highway Agency"
"District 4 - Logan","01599","04 - District 4","083 - Logan","01 - State Highway Agency"
"District 8 - Conway","01613","08 - District 8","029 - Conway","01 - State Highway Agency"
"District 7 - Clark","01616","07 - District 7","019 - Clark","01 - State Highway Agency"
"District 3 - Pike","01622","03 - District 3","109 - Pike","01 - State Highway Agency"
"District 3 - Pike","01623","03 - District 3","109 - Pike","01 - State Highway Agency"
"District 6 - Prairie","01626","06 - District 6","117 - Prairie","04 - City or Municipal Highway Agency"
"District 6 - Prairie","01627","06 - District 6","117 - Prairie","02 - County Highway Agency"
"District 7 - Cleveland","01635","07 - District 7","025 - Cleveland","01 - State Highway Agency"
"District 4 - Franklin","01648","04 - District 4","047 - Franklin","01 - State Highway Agency"
"District 4 - Washington","01649","04 - District 4","143 - Washington","01 - State Highway Agency"
"District 10 - Clay","01667","10 - District 10","021 - Clay","01 - State Highway Agency"
"District 4 - Washington","01672","04 - District 4","143 - Washington","01 - State Highway Agency"
"District 4 - Washington","01673","04 - District 4","143 - Washington","01 - State Highway Agency"
"District 10 - Craighead","01684","10 - District 10","031 - Craighead","01 - State Highway Agency"
"District 8 - Pope","01688","08 - District 8","115 - Pope","01 - State Highway Agency"
"District 9 - Newton","01689","09 - District 9","101 - Newton","01 - State Highway Agency"
"District 10 - Poinsett","01690","10 - District 10","111 - Poinsett","02 - County Highway Agency"
"District 4 - Washington","01694","04 - District 4","143 - Washington","01 - State Highway Agency"
"District 9 - Benton","01701","09 - District 9","007 - Benton","02 - County Highway Agency"
"District 3 - Sevier","01707","03 - District 3","133 - Sevier","01 - State Highway Agency"
"District 3 - Sevier","01708","03 - District 3","133 - Sevier","01 - State Highway Agency"
"District 9 - Benton","01710","09 - District 9","007 - Benton","27 - Railroad"
"District 5 - Jackson","01711","05 - District 5","067 - Jackson","01 - State Highway Agency"
"District 5 - Jackson","01712","05 - District 5","067 - Jackson","01 - State Highway Agency"
"District 5 - Jackson","01713","05 - District 5","067 - Jackson","01 - State Highway Agency"
"District 5 - Jackson","01715","05 - District 5","067 - Jackson","01 - State Highway Agency"
"District 8 - Perry","01717","08 - District 8","105 - Perry","01 - State Highway Agency"
"District 8 - Perry","01718","08 - District 8","105 - Perry","01 - State Highway Agency"
"District 8 - Perry","01719","08 - District 8","105 - Perry","01 - State Highway Agency"
"District 8 - Perry","01720","08 - District 8","105 - Perry","01 - State Highway Agency"
"District 8 - Perry","01721","08 - District 8","105 - Perry","01 - State Highway Agency"
"District 8 - Johnson","01724","08 - District 8","071 - Johnson","01 - State Highway Agency"
"District 6 - Pulaski","01726","06 - District 6","119 - Pulaski","01 - State Highway Agency"
"District 9 - Marion","01743","09 - District 9","089 - Marion","01 - State Highway Agency"
"District 10 - Randolph","01745","10 - District 10","121 - Randpolph","01 - State Highway Agency"
"District 4 - Scott","01754","04 - District 4","127 - Scott","01 - State Highway Agency"
